Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds),success,failed,window,window median,window average,window 75,window 90,window 95
101,1468,1468.000,732,3021,4365,6894,6065,14509,23430,44878,57291,1467,1,44878,4365,6894,6065,14509,23430
102,1326,1326.000,709,3090,4323,7443,5887,14612,25256,65854,75639,1325,1,65854,4323,7443,5887,14612,25256
103,1271,1271.000,716,2979,4310,7828,6595,18375,31475,52787,64839,1270,1,52787,4310,7828,6595,18375,31475
104,1208,1208.000,1120,3091,4451,8265,6369,16523,30730,73104,87286,1207,1,73104,4451,8265,6369,16523,30730
105,943,943.000,667,3264,4640,10745,10625,28652,51256,70317,96319,942,1,70317,4640,10745,10625,28652,51256
106,1363,1363.000,706,3130,4345,7384,5889,14747,30529,54864,75917,1362,1,54864,4345,7384,5889,14747,30529
107,1421,1421.000,559,3104,4407,6849,5597,14199,23427,44580,58047,1420,1,44580,4407,6849,5597,14199,23427
108,1068,1068.000,669,3243,4654,9393,11060,22243,38400,56129,61875,1067,1,56129,4654,9393,11060,22243,38400
109,1410,1410.000,646,3020,4348,7197,5946,15526,31323,46013,62078,1409,1,46013,4348,7197,5946,15526,31323
110,938,938.000,794,3335,5163,10420,10783,29422,43179,58272,77870,937,1,58272,5163,10420,10783,29422,43179
111,999,999.000,677,3232,4766,10474,8960,28874,46424,84323,93669,998,1,84323,4766,10474,8960,28874,46424
112,961,961.000,556,3059,4848,9942,10517,28822,41431,54154,66659,960,1,54154,4848,9942,10517,28822,41431
113,918,918.000,681,3448,5034,10889,11722,26668,49328,69252,77909,917,1,69252,5034,10889,11722,26668,49328
114,932,932.000,678,3374,5151,10619,12112,29177,47330,59117,67196,931,1,59117,5151,10619,12112,29177,47330
115,1312,1312.000,751,3151,4594,7612,6685,17571,29658,43725,54476,1311,1,43725,4594,7612,6685,17571,29658
116,1041,1041.000,1156,3155,4564,9593,8277,21600,41057,72526,133961,1040,1,72526,4564,9593,8277,21600,41057
117,1684,1684.000,701,2924,4071,5912,5262,10363,16416,42706,77860,1683,1,42706,4071,5912,5262,10363,16416
118,1530,1530.000,735,2989,4324,6538,6244,14047,22242,35256,53357,1529,1,35256,4324,6538,6244,14047,22242
119,1422,1422.000,729,2938,4312,6913,6104,14979,22314,60088,79225,1421,1,60088,4312,6913,6104,14979,22314
