Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds),success,failed,window,window median,window average,window 75,window 90,window 95
88,542,542.000,746,3196,22265,18583,27859,32564,36259,41066,50317,541,1,41066,22265,18583,27859,32564,36259
89,573,573.000,796,3035,19812,17467,26352,32029,34675,38878,49353,573,0,38878,19812,17467,26352,32029,34675
90,564,564.000,799,3365,20122,17655,26496,31144,33692,37686,48392,563,1,37686,20122,17655,26496,31144,33692
91,598,598.000,756,2015,18713,16663,26186,31858,34316,39934,46129,598,0,39934,18713,16663,26186,31858,34316
92,564,564.000,760,5126,20203,17732,26336,31700,34841,39391,42835,563,1,39391,20203,17732,26336,31700,34841
93,589,589.000,798,1989,18497,17044,26604,32224,35470,47594,53991,589,0,47594,18497,17044,26604,32224,35470
94,609,609.000,728,4019,18244,16306,24128,29772,32654,38252,54380,608,1,38252,18244,16306,24128,29772,32654
95,592,592.000,765,3397,18715,16841,25200,30751,33917,42220,46429,592,0,42220,18715,16841,25200,30751,33917
96,618,618.000,773,1879,18836,16114,24717,29268,32283,36521,44130,618,0,36521,18836,16114,24717,29268,32283
97,606,606.000,781,3802,18853,16566,24452,30034,32814,38261,43596,606,0,38261,18853,16566,24452,30034,32814
98,594,594.000,796,3502,19117,16883,25243,30451,33544,38374,41672,594,0,38374,19117,16883,25243,30451,33544
99,559,559.000,737,6782,19504,17893,26223,31551,34134,40022,52387,559,0,40022,19504,17893,26223,31551,34134
100,612,612.000,795,2672,18161,16202,24657,29585,32547,38071,46510,611,1,38071,18161,16202,24657,29585,32547
101,613,613.000,753,3405,17925,16355,24436,30305,33462,37853,41339,612,1,37853,17925,16355,24436,30305,33462
102,567,567.000,754,2691,19879,17612,26535,31947,35568,47475,51753,567,0,47475,19879,17612,26535,31947,35568
103,590,590.000,757,2998,18668,16873,25387,31276,34330,39404,43615,589,1,39404,18668,16873,25387,31276,34330
104,587,587.000,806,4496,19155,17042,25231,30773,33178,38186,41710,587,0,38186,19155,17042,25231,30773,33178
105,604,604.000,786,3068,18466,16502,25700,31257,33543,39847,51242,604,0,39847,18466,16502,25700,31257,33543
106,535,535.000,747,3502,21165,18882,28857,34679,37121,44253,67109,535,0,44253,21165,18882,28857,34679,37121
107,476,476.000,792,9561,24625,20814,29772,34988,37668,42485,51090,476,0,42485,24625,20814,29772,34988,37668
108,588,588.000,754,2165,20163,16944,26772,31012,33038,38156,58739,587,1,38156,20163,16944,26772,31012,33038
109,528,528.000,793,7304,21920,18957,27307,32015,34685,41849,61489,528,0,41849,21920,18957,27307,32015,34685
110,574,574.000,762,4823,19598,17458,26502,30886,33770,40951,60299,574,0,40951,19598,17458,26502,30886,33770
111,583,583.000,789,3492,19249,17069,25308,30816,34018,39477,44625,582,1,39477,19249,17069,25308,30816,34018
112,581,581.000,763,2736,19049,17186,25938,32510,35070,42708,47976,580,1,42708,19049,17186,25938,32510,35070
113,600,600.000,792,2435,18829,16564,25194,30339,33944,39266,48815,600,0,39266,18829,16564,25194,30339,33944
114,626,626.000,802,2441,18377,16101,24343,29227,32005,36718,49604,625,1,36718,18377,16101,24343,29227,32005
115,566,566.000,764,6087,19691,17622,26138,31215,34130,39948,48809,565,1,39948,19691,17622,26138,31215,34130
116,551,551.000,762,8634,19138,19011,25602,30242,32827,41374,934771,551,0,41374,19138,19011,25602,30242,32827
117,587,587.000,771,2131,17825,16135,24369,29755,33861,42501,75434,586,1,42501,17825,16135,24369,29755,33861
118,546,546.000,739,4961,19433,18336,26744,31729,36305,74182,84678,546,0,74182,19433,18336,26744,31729,36305
119,560,560.000,748,8948,19298,17290,24641,29204,32861,38787,43307,560,0,38787,19298,17290,24641,29204,32861
