Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds),success,failed,window,window median,window average,window 75,window 90,window 95
103,928,928.000,736,1080,12471,10746,18394,22211,24770,33761,49748,928,0,33761,12471,10746,18394,22211,24770
104,927,927.000,735,1097,12302,10754,18144,21899,23937,32355,48362,926,1,32355,12302,10754,18144,21899,23937
105,931,931.000,711,1091,12088,10751,18743,22614,25236,34184,49953,930,1,34184,12088,10751,18743,22614,25236
106,933,933.000,711,1106,12341,10697,18447,22014,24178,32432,44488,933,0,32432,12341,10697,18447,22014,24178
107,958,958.000,683,1101,12058,10476,18090,22413,25516,38405,52094,957,1,38405,12058,10476,18090,22413,25516
108,922,922.000,719,1079,11469,10792,17850,22505,25521,70897,96286,921,1,70897,11469,10792,17850,22505,25521
109,918,918.000,705,1106,11867,10838,18442,22395,25546,42817,78450,918,0,42817,11867,10838,18442,22395,25546
110,898,898.000,707,1104,12777,11136,18984,22834,25801,34220,66306,898,0,34220,12777,11136,18984,22834,25801
111,935,935.000,726,1088,11904,10646,17776,22352,25461,38388,55481,935,0,38388,11904,10646,17776,22352,25461
112,932,932.000,740,1078,12130,10757,18262,22600,24982,35490,71154,932,0,35490,12130,10757,18262,22600,24982
113,940,940.000,701,1104,11737,10611,18533,22502,26440,36601,56936,939,1,36601,11737,10611,18533,22502,26440
114,873,873.000,692,1094,12129,11455,18135,22943,27394,72313,88184,873,0,72313,12129,11455,18135,22943,27394
115,959,959.000,722,1084,11706,10433,17775,22093,25141,36275,46337,958,1,36275,11706,10433,17775,22093,25141
116,925,925.000,733,1123,12271,10808,18205,22358,25500,36310,46725,924,1,36310,12271,10808,18205,22358,25500
117,935,935.000,671,1080,11703,10671,18440,22474,24756,36991,57863,935,0,36991,11703,10671,18440,22474,24756
118,910,910.000,728,1091,12789,10982,18432,22091,25143,33091,57727,910,0,33091,12789,10982,18432,22091,25143
119,920,920.000,731,1092,11783,10639,18093,22708,26125,36783,60222,920,0,36783,11783,10639,18093,22708,26125
