Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1652397163.990936,33667,0,1
1,NewOrder,1652397164.024642,16805,0,1
1,NewOrder,1652397164.041501,41972,0,1
1,NewOrder,1652397164.083510,33766,0,1
1,NewOrder,1652397164.117312,58663,0,1
1,NewOrder,1652397164.176012,25211,0,1
1,NewOrder,1652397164.201260,33518,0,1
1,NewOrder,1652397164.234817,125274,0,1
1,NewOrder,1652397164.360128,75277,0,1
1,NewOrder,1652397164.435446,25220,0,1
1,NewOrder,1652397164.460702,42288,0,1
1,NewOrder,1652397164.503069,24812,0,1
1,NewOrder,1652397164.527950,108558,0,1
1,NewOrder,1652397164.636604,8428,0,1
1,NewOrder,1652397164.645091,1482,0,1
1,NewOrder,1652397164.646618,90099,0,1
1,NewOrder,1652397164.736784,50002,0,1
1,NewOrder,1652397164.786852,25469,0,1
1,NewOrder,1652397164.812385,33554,0,1
1,NewOrder,1652397164.846007,33579,0,1
1,NewOrder,1652397164.879655,33443,0,1
1,NewOrder,1652397164.913166,91753,0,1
1,NewOrder,1652397165.004986,42096,0,1
1,NewOrder,1652397165.047147,91811,0,1
1,NewOrder,1652397165.139026,91780,0,1
1,NewOrder,1652397165.230875,83610,0,1
1,NewOrder,1652397165.314552,49926,0,1
1,NewOrder,1652397165.364545,25034,0,1
1,NewOrder,1652397165.389677,33505,0,1
1,NewOrder,1652397165.423249,25008,0,1
1,NewOrder,1652397165.448323,16682,0,1
1,NewOrder,1652397165.465071,33649,0,1
1,NewOrder,1652397165.498786,66916,0,1
1,NewOrder,1652397165.565769,25240,0,1
1,NewOrder,1652397165.591076,16412,0,1
1,NewOrder,1652397165.607552,25355,0,1
1,NewOrder,1652397165.632974,16890,0,1
1,NewOrder,1652397165.649932,33520,0,1
1,NewOrder,1652397165.683521,25014,0,1
1,NewOrder,1652397165.708603,33545,0,1
1,NewOrder,1652397165.742219,41786,0,1
1,NewOrder,1652397165.784074,33457,0,1
1,NewOrder,1652397165.817600,25195,0,1
1,NewOrder,1652397165.842868,25191,0,1
1,NewOrder,1652397165.868127,83346,0,1
1,NewOrder,1652397165.951542,33450,0,1
1,NewOrder,1652397165.985068,58422,0,1
1,NewOrder,1652397166.043559,91593,0,1
1,NewOrder,1652397166.135228,25268,0,1
1,NewOrder,1652397166.160563,24954,0,1
1,NewOrder,1652397166.185586,33478,0,1
1,NewOrder,1652397166.219140,33434,0,1
1,NewOrder,1652397166.252651,33535,0,1
1,NewOrder,1652397166.286263,24947,0,1
1,NewOrder,1652397166.311279,33370,0,1
1,NewOrder,1652397166.344723,25016,0,1
1,NewOrder,1652397166.369814,24992,0,1
1,NewOrder,1652397166.394879,16733,0,1
1,NewOrder,1652397166.411684,25059,0,1
1,NewOrder,1652397166.436817,34025,0,1
1,NewOrder,1652397166.470923,91626,0,1
1,NewOrder,1652397166.562623,25075,0,1
1,NewOrder,1652397166.587773,24956,0,1
1,NewOrder,1652397166.612800,25215,0,1
1,NewOrder,1652397166.638093,66828,0,1
1,NewOrder,1652397166.705000,25013,0,1
1,NewOrder,1652397166.730091,33523,0,1
1,NewOrder,1652397166.763692,24971,0,1
1,NewOrder,1652397166.788739,91878,0,1
1,NewOrder,1652397166.880684,33284,0,1
1,NewOrder,1652397166.914036,58486,0,1
1,NewOrder,1652397166.972601,50196,0,1
1,NewOrder,1652397167.022868,58564,0,1
1,NewOrder,1652397167.081518,41953,0,1
1,NewOrder,1652397167.123554,25103,0,1
1,NewOrder,1652397167.148737,33506,0,1
1,NewOrder,1652397167.182350,108225,0,1
1,NewOrder,1652397167.290668,33647,0,1
1,NewOrder,1652397167.324395,33289,0,1
1,NewOrder,1652397167.357759,33221,0,1
1,NewOrder,1652397167.391061,25237,0,1
1,NewOrder,1652397167.416379,33357,0,1
1,NewOrder,1652397167.449957,25084,0,1
1,NewOrder,1652397167.475144,8789,0,1
1,NewOrder,1652397167.483994,1167,0,1
