Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1652394040.033183,34048,3,1
1,NewOrder,1652394040.033381,25340,0,1
1,NewOrder,1652394040.037072,29979,7,1
1,NewOrder,1652394040.039013,36548,2,1
1,NewOrder,1652394040.041594,25489,4,1
1,NewOrder,1652394040.050129,25361,6,1
1,NewOrder,1652394040.050235,25315,8,1
1,NewOrder,1652394040.050453,33660,1,1
1,NewOrder,1652394040.050932,16119,5,1
1,NewOrder,1652394040.058786,33657,0,1
1,NewOrder,1652394040.067113,25345,5,1
1,NewOrder,1652394040.067118,42262,4,1
1,NewOrder,1652394040.067125,33825,7,1
1,NewOrder,1652394040.067149,16766,9,1
1,NewOrder,1652394040.067290,33669,3,1
1,NewOrder,1652394040.075552,24404,6,1
