Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds),success,failed,window,window median,window average,window 75,window 90,window 95
83,578,578.000,2743,11243,13657,15426,16317,20788,25442,73702,78883,577,1,73702,13657,15426,16317,20788,25442
84,699,699.000,3818,11210,13640,14204,16313,18998,22592,31702,36251,699,0,31702,13640,14204,16313,18998,22592
85,719,719.000,2831,10960,13221,13925,15860,18390,22456,30432,43517,718,1,30432,13221,13925,15860,18390,22456
86,189,189.000,4467,11126,13161,63713,15985,22005,770103,1012484,1015785,189,0,1012484,13161,63713,15985,22005,770103
87,555,555.000,3836,11085,13437,14309,16156,19136,24061,32219,39753,555,0,32219,13437,14309,16156,19136,24061
88,711,711.000,3386,11123,13272,14058,16152,19237,23456,30036,40879,710,1,30036,13272,14058,16152,19237,23456
89,681,681.000,3393,10999,13432,14661,15842,18340,22103,67014,104061,680,1,67014,13432,14661,15842,18340,22103
90,698,698.000,2290,10850,13238,14317,15626,20297,24214,41508,48684,697,1,41508,13238,14317,15626,20297,24214
91,713,713.000,2864,10835,13192,13985,15956,18985,23050,31469,39329,712,1,31469,13192,13985,15956,18985,23050
92,711,711.000,4117,11000,13409,14059,16248,19099,22117,29138,37520,710,1,29138,13409,14059,16248,19099,22117
93,697,697.000,2684,11291,13404,14373,16199,19047,24139,38594,56242,697,0,38594,13404,14373,16199,19047,24139
94,674,674.000,3601,10873,13145,14772,15836,18915,23208,75649,100728,674,0,75649,13145,14772,15836,18915,23208
95,713,713.000,2960,11175,13310,14012,16054,18558,21499,28910,47716,712,1,28910,13310,14012,16054,18558,21499
96,719,719.000,2892,10518,13178,13921,16091,18627,22016,31853,42512,718,1,31853,13178,13921,16091,18627,22016
97,696,696.000,2848,11211,13403,14344,16137,19247,23025,30547,52226,695,1,30547,13403,14344,16137,19247,23025
